ID,AddedToHS,Status,Requester,BusinessUnitName,CreatedAt,RequesterName,BusinessUnit,Product,SKU,CloudProvider,CIDRSize,VPCRegion,RiskLevel,Region,Latitude,Longitude,ProductType,DataClassification,DXGWRegion,ControlClassification,GEIXRegion,Spent
GERITM123,2020-01-17T15:44:39.285305079Z,In-Progress,212693245,Lighting,2020-01-29T19:33:43.526Z,Michael Palmer,GE_LT_001,Guardrails,Guardrails Standard on AWS,AWS,512,us-east-1,Medium,Virginia,37.4316,-78.6569,Standard,NO CLASSIFICATION,us-east-1,,,$1885
GERITM124,2020-01-17T15:46:47.734899816Z,New,212737221,Gas Power,2020-05-08T21:07:30.444Z,Danielle Garcia,GE_PW_001,Guardrails,Guardrails Limited on AWS,AWS,256,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$2386
GERITM125,2020-01-17T15:46:05.107681962Z,New,212738388,GE Power,2020-01-09T17:03:57.143Z,Frank Kimani,GE_PW_006,Guardrails,Guardrails Limited on AWS,AWS,256,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$796
GERITM126,2020-02-11T20:32:41.584513651Z,New,212693245,Corporate Cyber,2020-06-11T20:32:30.248322191Z,Michael Palmer,GE_CO_004,Guardrails,Guardrails Standard on Azure,Azure,512,us-east-1,Crown Jewel,Virginia,37.4316,-78.6569,,,,,,$1861
GERITM127,2020-02-17T15:45:07.072840186Z,New,212737221,Steam Power,2020-05-08T21:04:38.813Z,Danielle Garcia,GE_PW_004,Guardrails,Guardrails Limited on AWS,AWS,512,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$2562
GERITM128,2020-02-11T19:47:28.747442969Z,In-Progress,502153780,Corporate Cyber,2020-06-11T19:31:43.482443388Z,Manish Sharma,GE_CO_004,Guardrails,Guardrails Standard on AWS,AWS,256,us-east-1,Crown Jewel,Virginia,37.4316,-78.6569,Standard,HIGHLY CONFIDENTIAL,ap-southeast-1,,,$690
GERITM129,2020-03-17T15:46:34.20237871Z,New,212737221,Baker Hughes GE,2019-08-19T13:25:00.18Z,Danielle Garcia,GE_BH_001,Guardrails,Guardrails Limited on AWS,AWS,256,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$1434
GERITM130,2020-03-17T15:44:11.604546676Z,New,212738388,Power,2020-01-14T18:35:23.555Z,Frank Kimani,GE_PW_007,Guardrails,Guardrails Limited on AWS,AWS,512,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$2704
GERITM131,2020-04-17T15:44:49.023926059Z,New,212738388,Baker Hughes GE,2020-05-08T20:52:36.620Z,Frank Kimani,GE_BH_001,Guardrails,Guardrails Limited on AWS,AWS,512,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$1207
GERITM132,2020-04-18T12:39:57.333002767Z,New,212535329,Healthcare,2020-06-18T12:39:41.71134074Z,David LE CAM,GE_HC_001,Guardrails,Guardrails Limited on AWS,AWS,512,us-east-1,,Virginia,37.4316,-78.6569,,,,,,$659
